slug,title,gaggle,songwriter,words,band
"some-of-trumps-favorite-things","SOME OF TRUMP’S FAVORITE THINGS","Tucson","Lee Stanfield","183","tight"
"voting-ragin-granny","Voting Ragin’ Granny","Tompkins County","Cositore Sitrin","183","tight"
"bring-back-my-family-to-me","Bring Back My Family to Me","Tuolumne & Calaveras Counties","Marci Duggan","184","tight"
"if-we-all-work-together","If We All Work Together","Piedmont","Granny Sally","184","tight"
"weve-always-paid-our-taxes-2012","We’ve Always Paid our Taxes 2012","Santa Cruz","Evie Shobin and Jan Harwood and Vicki Ryder","184","tight"
"a-carol-for-fair-taxation","A Carol for Fair Taxation","Rochester","Vicki Ryder","185","tight"
"nuclear-wasteland-state","Nuclear Wasteland State","New Mexico","Marcy Matasick","185","tight"
"sb-202","SB-202","Triangle","Candice Davies","185","tight"
"when-will-occupy-go-home","When Will Occupy Go Home?","Kingston (historical)","Rose DeShaw","185","tight"
"youre-no-good-scotus","You’re No Good, SCOTUS","New Mexico","Paige Grant","185","tight"
"commonsense-sex","Commonsense Sex","Kingston (historical)","Rose DeShaw","186","tight"
"last-chance","Last Chance","Piedmont, Winnipeg","Debby Lake","186","tight"
"o-come-all-you-fearful","O Come All You Fearful","Kingston (historical)","Rose DeShaw","186","tight"
"stop-kavanaugh-now","Stop Kavanaugh NOW!","Triangle","Vicki Ryder","186","tight"
"these-grannies","These Grannies","Tuolumne & Calaveras Counties","Lori Underwood","186","tight"
"were-rising-up-one-billion-rising","We’re Rising Up! (One Billion Rising!)","Triangle","Vicki Ryder","186","tight"
"everybodys-land-gaza-song","Everybody’s Land – Gaza Song","Kingston (historical)","Rose DeShaw","187","tight"
"i-would-do-it-again-song-for-lynne-stewart","I Would Do it Again (Song for Lynne Stewart)","Rochester","Vicki Ryder","187","tight"
"montreal-massacre","Montreal Massacre","Kingston (historical)","Rose DeShaw","187","tight"
"we-rage-to-end-all-war","We Rage to End All War","New York City Metro","Sunny Armer (revision of song byVicki Ryde,r Rochester)","187","tight"
"we-rage-to-end-all-war-updated-to-include-syria","We Rage to End All War, updated to include Syria","Metro Detroit","Kathy Russell, Sunny Armer, (revision of song by Vicki Ryder)","187","tight"
"foreclosure","Foreclosure","Boston (historical)","Sue Gracey","188","tight"
"oh-give-us-a-beach","Oh, Give Us a Beach","South Florida","Vicki Ryder","188","tight"
"start-now","START NOW!","Tucson","Lee Stanfield","188","tight"
